,HS_CODE
1213,809100000
1214,809210000
1215,809290000
1216,809300000
1217,809401000
1218,809402000
1219,810100000
1220,810200000
1221,810300000
1222,810400000
1223,810500000
1224,810600000
1225,810701000
1226,810709000
1227,810903000
1228,810905000
1229,810909000
1230,811100000
1231,811200000
1232,811901000
1233,811902000
1234,811903000
1235,811909000
1236,812100000
1237,812901000
1238,812909000
1239,813100000
1240,813200000
1241,813300000
1242,813401000
1243,813402000
1244,813409000
1245,813500000
1246,814001000
1247,814002000
1248,901110000
1249,901120000
1250,901210000
1251,901220000
1252,901901000
1253,901902000
1254,902100000
1255,902200000
1256,902300000
1257,902400000
1258,903000000
1259,904110000
1260,904120000
1261,904210000
1262,904220000
1263,905100000
1264,905200000
1265,906110000
1266,906191000
1267,906192000
1268,906201000
1269,906202000
1270,907100000
1271,907200000
1272,908110000
1273,908120000
1274,908210000
1275,908220000
1276,908310000
1277,908320000
1278,909210000
1279,909220000
1280,909310000
1281,909320000
1282,909611000
1283,909612000
1284,909613000
1285,909621000
1286,909622000
1287,909623000
1288,910111000
1289,910112000
1290,910119000
1291,910121000
1292,910122000
1293,910129000
1294,910200000
1295,910300000
1296,910911000
1297,910919000
1298,910991000
1299,910999000
1300,1001110000
1301,1001190000
1302,1001911000
1303,1001919000
1304,10019910
1305,1001991010
1306,1001991090
1307,10019920
1308,1001992010
1309,1001992090
1310,10019990
1311,1001999010
1312,1001999090
1313,1002100000
1314,1002900000
1315,1003101000
1316,1003102000
1317,1003103000
1318,1003109000
1319,1003901000
1320,1003902000
1321,1003903000
1322,1003909000
1323,1004100000
1324,1004900000
1325,1005100000
1326,1005901000
1327,1005902000
1328,1005909000
1329,1006100000
1330,1006201000
1331,1006202000
1332,1006301000
1333,1006302000
1334,1006400000
1335,1007100000
1336,1007900000
1337,1008100000
1338,1008211000
1339,1008219000
1340,1008291000
1341,1008299000
1342,1008300000
1343,1008400000
1344,1008500000
1345,1008600000
1346,1008900000
1347,1101001000
1348,1101002000
1349,1102200000
1350,1102901000
1351,1102902000
1352,1102903000
1353,1102909000
1354,1103110000
1355,1103130000
1356,1103191000
1357,1103192000
1358,1103193000
1359,1103199000
1360,1103201000
1361,1103202000
1362,1103203000
1363,1103209000
1364,1104120000
1365,1104191000
1366,1104192000
1367,1104199000
1368,1104220000
1369,1104230000
1370,1104291000
1371,1104292000
1372,1104299000
1373,1104301000
1374,1104309000
1375,1105100000
1376,1105200000
1377,1106100000
1378,1106201000
1379,1106209000
1380,1106300000
1381,1107100000
1382,1107201000
1383,1107209000
1384,1108110000
1385,1108121000
1386,1108129000
1387,1108130000
1388,1108141000
1389,1108149000
1390,1108191000
1391,1108199000
1392,1108200000
1393,1109000000
1394,1201101000
1395,1201109000
1396,1201901000
1397,1201902000
1398,1201903000
1399,1201909000
1400,1202301000
1401,1202302000
1402,1202410000
1403,1202420000
1404,1203000000
1405,1204000000
1406,1205101000
1407,1205109000
1408,1205901000
1409,1205909000
1410,1206000000
1411,1207100000
1412,1207210000
1413,1207291000
1414,1207299000
1415,1207300000
1416,1207400000
1417,1207500000
1418,1207600000
1419,1207700000
1420,1207910000
1421,1207991000
1422,1207992000
1423,1207999000
1424,1208100000
1425,1208900000
1426,1209100000
1427,1209210000
1428,1209220000
1429,1209230000
1430,1209240000
1431,1209250000
1432,1209291000
1433,1209292000
1434,1209293000
1435,1209294000
1436,1209299000
1437,1209300000
1438,12099110
1439,1209911010
1440,1209911090
1441,1209912000
1442,1209913000
1443,1209914000
1444,1209915000
1445,1209919000
1446,12099910
1447,1209991010
1448,1209991090
1449,1209992000
1450,1209993000
1451,1209994000
1452,1209999000
1453,1210100000
1454,1210201000
1455,1210202000
1456,1211201
1457,12112011
1458,1211201110
1459,1211201190
1460,12112012
1461,121120121
1462,1211201211
1463,1211201219
1464,121120129
1465,1211201291
1466,1211201299
1467,12112013
1468,121120131
1469,1211201311
1470,1211201319
1471,121120139
1472,1211201391
1473,1211201399
1474,1211202
1475,12112021
1476,1211202110
1477,1211202120
1478,1211202190
1479,12112022
1480,1211202210
1481,1211202220
1482,1211202290
1483,1211203
1484,1211203100
1485,1211203200
1486,1211209
1487,1211209300
1488,1211209900
1489,1211301000
1490,1211309000
1491,1211401000
1492,1211409000
1493,1211501000
1494,1211509000
1495,1211901
1496,1211901100
1497,1211901200
1498,1211901300
1499,1211901400
1500,1211901500
1501,1211901600
1502,1211901700
1503,1211901800
1504,12119019
1505,1211901910
1506,1211901920
1507,1211901930
1508,1211901940
1509,1211901950
1510,1211901960
1511,1211901970
1512,1211901980
1513,121190199
1514,1211901991
1515,1211901992
1516,1211901993
1517,1211901999
1518,12119090
1519,1211909010
1520,1211909090
1521,12122110
1522,1212211010
1523,1212211020
1524,1212211030
1525,1212211090
1526,12122120
1527,1212212010
1528,1212212020
1529,1212212030
1530,1212212040
1531,1212212090
1532,12122130
1533,1212213010
1534,1212213020
1535,1212213030
1536,1212213090
1537,12122140
1538,1212214010
1539,1212214020
1540,1212214030
1541,1212214090
1542,12122150
1543,1212215010
1544,1212215020
1545,1212215030
1546,1212215090
1547,12122160
1548,1212216010
1549,1212216090
1550,12122170
1551,121221701
1552,1212217011
1553,1212217019
1554,121221702
1555,1212217021
1556,1212217029
1557,121221703
1558,1212217031
1559,1212217039
1560,12122180
1561,121221801
1562,1212218011
1563,1212218019
1564,121221802
1565,1212218021
1566,1212218029
1567,121221803
1568,1212218031
1569,1212218039
1570,12122190
1571,121221901
1572,1212219011
1573,1212219019
1574,121221909
1575,1212219091
1576,1212219099
1577,12122910
1578,1212291010
1579,1212291090
1580,12122920
1581,1212292010
1582,1212292090
1583,12122930
1584,1212293010
1585,1212293090
1586,12122940
1587,1212294010
1588,1212294090
1589,12122950
1590,1212295010
1591,1212295090
1592,12122960
1593,1212296010
1594,1212296090
1595,12122970
1596,121229701
1597,1212297011
1598,1212297019
1599,121229702
1600,1212297021
1601,1212297029
1602,121229703
1603,1212297031
1604,1212297039
1605,12122980
1606,121229801
1607,1212298011
1608,1212298019
1609,121229802
1610,1212298021
1611,1212298029
1612,121229803
1613,1212298031
1614,1212298039
1615,12122990
1616,121229901
1617,1212299011
1618,1212299019
1619,121229909
1620,1212299091
1621,1212299099
1622,1212910000
1623,1212920000
1624,1212930000
1625,1212940000
1626,1212992000
1627,1212993000
1628,1212996000
1629,1212999000
1630,1213000000
1631,1214101000
1632,1214109000
1633,1214901000
1634,12149090
1635,121490901
1636,1214909011
1637,1214909019
1638,1214909090
1639,1301200000
1640,1301901000
1641,13019020
1642,1301902010
1643,1301902090
1644,1301909000
1645,1302110000
1646,1302120000
1647,1302130000
1648,1302140000
1649,1302191
1650,13021911
1651,1302191110
1652,1302191120
1653,1302191190
1654,13021912
1655,1302191210
1656,1302191220
1657,1302191290
1658,1302191900
1659,1302192000
1660,1302193000
1661,13021990
1662,1302199010
1663,1302199020
1664,130219903
1665,1302199031
1666,1302199032
1667,1302199033
1668,1302199034
1669,1302199035
1670,1302199039
1671,130219909
1672,1302199091
1673,1302199099
1674,1302200000
1675,1302311000
1676,1302312000
1677,1302319000
1678,1302320000
1679,1302390000
1680,1401101000
1681,1401102000
1682,1401109000
1683,1401201000
1684,1401209000
1685,1401900000
1686,1404200000
1687,1404901000
1688,14049020
1689,1404902010
1690,1404902090
1691,14049030
1692,1404903010
1693,1404903020
1694,1404903090
1695,1404904000
1696,1404905000
1697,14049060
1698,1404906010
1699,1404906020
1700,1404906090
1701,1404909000
1702,1501101000
1703,1501109000
1704,1501200000
1705,1501900000
1706,15021010
1707,1502101010
1708,1502101090
1709,1502109000
1710,1502901000
1711,1502909000
1712,1503002000
1713,1503009000
1714,1504101000
1715,1504109000
1716,1504200000
1717,1504301000
1718,1504309000
1719,1505001000
1720,1505009000
1721,1506001000
1722,1506009000
1723,1507101000
1724,1507102000
1725,1507109000
1726,15079010
1727,1507901010
1728,1507901020
1729,1507901090
1730,1507909000
1731,1508100000
1732,1508901000
1733,1508909000
1734,1509100000
1735,1509900000
1736,1510000000
1737,1511100000
1738,1511901000
1739,1511902000
1740,1511909000
1741,1512111000
1742,1512112000
1743,15121910
1744,1512191010
1745,1512191020
1746,15121990
1747,1512199010
1748,1512199020
1749,1512210000
1750,1512291000
1751,1512299000
1752,1513110000
1753,1513191000
1754,1513199000
1755,1513211000
1756,1513212000
1757,15132910
1758,1513291010
1759,1513291020
1760,1513299000
1761,1514110000
1762,1514191000
1763,1514199000
1764,1514911000
1765,1514912000
1766,15149910
1767,1514991010
1768,1514991020
1769,1514999000
1770,1515110000
1771,1515190000
1772,1515210000
1773,1515290000
1774,1515300000
1775,1515500000
1776,1515901000
1777,15159090
1778,1515909010
1779,1515909020
1780,1515909030
1781,1515909040
1782,1515909090
1783,1516101000
1784,1516102000
1785,1516109000
1786,15162010
1787,1516201010
1788,1516201020
1789,1516201030
1790,1516201040
1791,1516201050
1792,15162020
1793,1516202010
1794,1516202020
1795,1516202030
1796,1516202040
1797,1516202050
1798,1516202090
1799,1517100000
1800,1517901000
1801,1517902000
1802,1517909000
1803,1518001000
1804,1518002000
1805,15180090
1806,1518009010
1807,1518009090
1808,1520000000
1809,1521101000
1810,1521102000
1811,1521109000
1812,1521901000
1813,1521902000
1814,1521909000
1815,1522001000
1816,1522009000
1817,1601001000
1818,1601009000
1819,1602100000
1820,1602201000
1821,1602209000
1822,1602311000
1823,1602319000
1824,16023210
1825,1602321010
1826,1602321090
1827,1602329000
1828,1602391000
1829,1602399000
1830,1602411000
1831,1602419000
1832,1602421000
1833,1602429000
1834,1602491000
1835,1602499000
1836,1602501000
1837,1602509000
1838,1602901000
1839,1602909000
1840,1603001000
1841,1603002000
1842,1603003000
1843,1603004000
1844,1603009000
1845,1604111000
1846,1604119000
1847,1604121000
1848,1604129000
1849,1604131000
1850,1604139000
1851,16041410
1852,160414101
1853,1604141011
1854,1604141012
1855,1604141019
1856,160414102
1857,1604141021
1858,1604141022
1859,1604141029
1860,160414103
1861,1604141031
1862,1604141032
1863,1604141039
1864,1604149000
1865,1604151000
1866,1604159000
1867,1604161000
1868,1604169000
1869,1604171000
1870,1604179000
1871,1604181000
1872,1604189000
1873,16041910
1874,1604191010
1875,1604191020
1876,1604191090
1877,16041990
1878,1604199010
1879,1604199090
1880,1604201000
1881,1604202000
1882,1604203000
1883,16042040
1884,1604204010
1885,1604204090
1886,1604209000
1887,1604310000
1888,1604320000
1889,16051010
1890,1605101010
1891,160510109
1892,1605101091
1893,1605101099
1894,1605109000
1895,1605211000
1896,1605219000
1897,1605290000
1898,1605301000
1899,1605309000
1900,1605401000
1901,1605409000
1902,1605511000
1903,1605519000
1904,1605521000
1905,1605529000
1906,1605531000
1907,1605539000
1908,16055410
1909,1605541010
1910,1605541090
1911,16055420
1912,1605542010
1913,160554209
1914,1605542091
1915,1605542099
1916,1605551000
1917,1605559000
1918,16055610
1919,1605561010
1920,1605561090
1921,16055620
1922,1605562010
1923,1605562090
1924,16055690
1925,1605569010
1926,1605569090
1927,1605571000
1928,1605579000
1929,1605581000
1930,1605589000
1931,16055910
1932,1605591010
1933,1605591090
1934,16055920
1935,1605592010
1936,1605592090
1937,16055990
1938,1605599010
1939,1605599090
1940,1605611000
1941,1605619000
1942,1605621000
1943,1605629000
